lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
13.063,-59.541,342,600,11777,1023199,,1000,1,1,UMTS,,,,,,
13.063,-59.542,342,600,301,1013199,,1000,1,1,UMTS,,,,,,
13.063,-59.54,342,600,11777,1013199,,1000,1,1,UMTS,,,,,,
13.063,-59.542,342,600,300,1023199,,1000,1,1,UMTS,,,,,,
13.064,-59.543,342,600,300,1013199,,1000,1,1,UMTS,,,,,,
13.064,-59.542,342,600,300,357838,,1000,1,1,UMTS,,,,,,
13.064,-59.544,342,600,19,1027843,,1000,1,1,LTE,,,19,,,
13.064,-59.543,342,600,302,1013199,,1000,1,1,UMTS,,,,,,
13.065,-59.543,338,5,56150,64063,,1000,1,1,UMTS,,,,,,
13.065,-59.543,338,5,56150,64066,,1000,1,1,GSM,,,,,,
13.065,-59.547,342,600,301,1023148,,1000,1,1,UMTS,,,,,,
13.065,-59.546,342,600,11777,1013148,,1000,1,1,UMTS,,,,,,
13.065,-59.548,342,600,301,357837,,1000,1,1,UMTS,,,,,,
13.065,-59.547,342,600,302,1023148,,1000,1,1,UMTS,,,,,,
13.065,-59.545,342,600,11265,1013199,,1000,1,1,UMTS,,,,,,
13.065,-59.544,342,600,302,357838,,1000,1,1,UMTS,,,,,,
13.065,-59.546,338,5,56150,64473,,1000,1,1,GSM,,,,,,
13.065,-59.542,342,600,300,30153,,1000,1,1,GSM,,,,,,
13.065,-59.549,342,600,300,1013148,,1000,1,1,UMTS,,,,,,
13.066,-59.541,342,600,300,31386,,1000,1,1,GSM,,,,,,
13.066,-59.544,342,600,300,30156,,3894,1,1,GSM,,,,,,
13.066,-59.541,342,600,300,30151,,1000,1,1,GSM,,,,,,
13.067,-59.546,342,600,300,1023148,,1170,1,1,UMTS,,,,,,
13.067,-59.545,342,600,19,1031426,,1000,1,1,LTE,,,19,,,
13.068,-59.548,342,600,20,1066499,,1000,1,1,LTE,,,20,,,
13.068,-59.548,342,600,302,357788,,1000,1,1,UMTS,,,,,,
13.068,-59.548,342,600,19,1026562,,1175,1,1,LTE,,,19,,,
13.068,-59.547,342,600,301,1024709,,1000,1,1,UMTS,,,,,,
13.069,-59.543,342,600,301,357788,,1000,1,1,UMTS,,,,,,
13.069,-59.544,342,600,300,357788,,2187,1,1,UMTS,,,,,,
13.06,-59.535,342,600,301,357839,,1000,1,1,UMTS,,,,,,
13.061,-59.537,342,600,300,357839,,1000,1,1,UMTS,,,,,,
13.061,-59.538,342,600,300,1023198,,1000,1,1,UMTS,,,,,,
13.062,-59.54,342,600,302,1023199,,1000,1,1,UMTS,,,,,,
13.062,-59.538,342,600,302,1023198,,1000,1,1,UMTS,,,,,,
13.062,-59.535,342,600,300,30155,,4286,1,1,GSM,,,,,,
13.063,-59.54,338,5,3511,97592,,1000,1,1,UMTS,,,,,,
13.063,-59.54,338,5,3511,97589,,1000,1,1,UMTS,,,,,,
13.063,-59.537,342,600,11521,1013197,,1000,1,1,UMTS,,,,,,
13.064,-59.538,342,600,300,30154,,5600,1,1,GSM,,,,,,
13.065,-59.535,342,600,300,1013197,,1000,1,1,UMTS,,,,,,
13.065,-59.534,342,600,300,1023197,,1000,1,1,UMTS,,,,,,
13.065,-59.533,342,600,11265,1023197,,1000,1,1,UMTS,,,,,,
13.065,-59.531,342,600,302,1013197,,1000,1,1,UMTS,,,,,,
13.065,-59.534,342,600,300,357837,,1000,1,1,UMTS,,,,,,
13.065,-59.533,342,600,11777,1013197,,1000,1,1,UMTS,,,,,,
13.066,-59.536,342,600,301,1013197,,1000,1,1,UMTS,,,,,,
13.066,-59.533,342,600,301,1023197,,1000,1,1,UMTS,,,,,,
13.068,-59.531,342,600,11265,1023167,,1000,1,1,UMTS,,,,,,
13.068,-59.531,342,600,11777,1013167,,1000,1,1,UMTS,,,,,,
13.068,-59.52,342,600,20,1052675,,1000,1,1,LTE,,,20,,,
13.068,-59.52,342,600,20,1049859,,1000,1,1,LTE,,,20,,,
13.069,-59.529,342,600,11521,1013167,,1000,1,1,UMTS,,,,,,
